               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11321,            0.038273,            0.051663,           0.0016282,             0.20811,           0.0028747,          0.00075064,            0.096017,            0.031776,            0.048176,              0.0793,              0.0023,              0.0023
                   1,            0.099798,            0.051653,            0.048193,           0.0014477,             0.15991,           0.0011156,          0.00039902,            0.092896,            0.033086,            0.047758,            0.057653,           0.0046535,           0.0046535
                   2,            0.094604,            0.054345,            0.046778,           0.0016718,             0.25016,           0.0022489,          0.00056196,            0.091337,            0.033684,            0.047195,            0.035959,           0.0069594,           0.0069594
                   3,            0.092453,            0.054426,            0.043509,           0.0016786,              0.2511,           0.0043089,          0.00094783,            0.091812,            0.033175,            0.046614,            0.014218,           0.0092178,           0.0092178
                   4,            0.091807,            0.047961,            0.040386,             0.64754,            0.020121,            0.013979,           0.0034582,            0.091461,            0.030446,             0.04408,            0.009604,            0.009604,            0.009604
                   5,            0.088877,             0.05037,            0.038022,             0.61673,            0.093132,            0.013728,           0.0042919,            0.087616,            0.038809,            0.043035,            0.009604,            0.009604,            0.009604
                   6,            0.085455,            0.047168,            0.035568,           0.0065274,            0.023865,           0.0057181,           0.0019546,            0.084599,             0.13863,            0.042438,            0.009505,            0.009505,            0.009505
                   7,            0.083972,            0.047565,            0.036235,           0.0094354,            0.022002,           0.0036433,          0.00081571,            0.084391,             0.13107,            0.042028,            0.009406,            0.009406,            0.009406
                   8,            0.082345,            0.045851,            0.035286,             0.64516,            0.094064,            0.054792,            0.017169,            0.080745,            0.048457,            0.040403,            0.009307,            0.009307,            0.009307
                   9,            0.080091,            0.045708,             0.03504,             0.66171,             0.11557,            0.078604,            0.021752,             0.07498,            0.039641,             0.03978,            0.009208,            0.009208,            0.009208
                  10,            0.079596,            0.045924,            0.034881,             0.67336,             0.14014,             0.10524,            0.026109,             0.07515,            0.043685,            0.039556,            0.009109,            0.009109,            0.009109
                  11,            0.081593,            0.044226,            0.034947,             0.89662,            0.072803,             0.10011,            0.030566,            0.075922,            0.030589,            0.038171,             0.00901,             0.00901,             0.00901
                  12,            0.077394,            0.044956,            0.033821,             0.68757,             0.12797,             0.11797,            0.030202,            0.073297,            0.030411,            0.037662,            0.008911,            0.008911,            0.008911
                  13,            0.077431,            0.043631,            0.033103,             0.87954,            0.096842,            0.087887,            0.026384,            0.076383,            0.029318,            0.037625,            0.008812,            0.008812,            0.008812
                  14,            0.076349,            0.045968,            0.033382,             0.65971,            0.073684,            0.058461,            0.011839,            0.082577,            0.030565,            0.037651,            0.008713,            0.008713,            0.008713
                  15,            0.076282,             0.04188,             0.03301,              0.4352,            0.050544,            0.041963,            0.013743,            0.078984,            0.052324,            0.039431,            0.008614,            0.008614,            0.008614
                  16,            0.074574,            0.045487,            0.032866,              0.6339,            0.026903,            0.011296,           0.0030088,            0.089856,            0.071722,            0.038933,            0.008515,            0.008515,            0.008515
